freq,unit,sex,age,icd10,resid,geo,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 ,2023 
A,NR,F,TOTAL,F_OTH,TOT_RESID,NO,83 ,102 ,56 ,62 ,74 ,90 ,: ,: 
A,NR,F,TOTAL,F_OTH,TOT_RESID,PL,38 ,27 ,36 ,39 ,38 ,223 ,: ,: 
A,NR,F,TOTAL,F_OTH,TOT_RESID,PT,68 ,50 ,82 ,105 ,119 ,104 ,: ,: 
A,NR,F,TOTAL,F_OTH,TOT_RESID,RO,53 ,51 ,66 ,57 ,88 ,90 ,: ,: 
A,NR,F,TOTAL,F_OTH,TOT_RESID,RS,213 ,249 ,246 ,272 ,305 ,332 ,: ,: 
A,NR,F,TOTAL,F_OTH,TOT_RESID,SE,136 ,152 ,125 ,108 ,125 ,104 ,: ,: 
A,NR,F,TOTAL,F_OTH,TOT_RESID,SI,3 ,7 ,3 ,9 ,10 ,8 ,: ,: 
A,NR,F,TOTAL,F_OTH,TOT_RESID,SK,7 ,9 ,13 ,9 ,3 ,6 ,: ,: 
A,NR,F,TOTAL,F_OTH,TOT_RESID,TR,171 ,144 ,135 ,87 ,109 ,132 ,: ,: 
A,NR,F,TOTAL,F_OTH,TOT_RESID,UK,339 ,318 ,348 ,: ,: ,: ,: ,: 
A,NR,F,TOTAL,TOTAL,TOT_IN,AT,41579 ,43274 ,42902 ,42454 ,45999 ,45510 ,46573 ,44428 
A,NR,F,TOTAL,TOTAL,TOT_IN,BE,54778 ,55373 ,56583 ,55564 ,64716 ,55494 ,59494 ,: 
A,NR,F,TOTAL,TOTAL,TOT_IN,BG,50998 ,52475 ,51583 ,51331 ,58077 ,70740 ,56084 ,: 
A,NR,F,TOTAL,TOTAL,TOT_IN,CH,33986 ,34806 ,34994 ,35381 ,38931 ,36452 ,38449 ,: 
A,NR,F,TOTAL,TOTAL,TOT_IN,CY,2561 ,2910 ,2792 ,2985 ,3083 ,3423 ,3522 ,: 
A,NR,F,TOTAL,TOTAL,TOT_IN,CZ,52930 ,54975 ,55645 ,55052 ,62774 ,66412 ,59022 ,54796 
A,NR,F,TOTAL,TOTAL,TOT_IN,DE,463486 ,475322 ,485711 ,474536 ,493503 ,508858 ,534991 ,: 
A,NR,F,TOTAL,TOTAL,TOT_IN,DK,26355 ,26366 ,27181 ,26461 ,26647 ,27973 ,29038 ,: 
